slide_id,case_id,file_id,sample_type_code,tissue_slide_id,filename,file_size
TCGA-CN-5360-01Z-00-DX1,TCGA-CN-5360,f970abcc-56aa-4224-a14c-3d1e87d7c5e7,01Z,DX1,TCGA-CN-5360-01Z-00-DX1.d3657b07-9ea0-41fc-b858-c9a1497340c8.svs,351706599
TCGA-CN-5361-01Z-00-DX1,TCGA-CN-5361,87bc67f1-f52d-4859-b3e9-9ea2999f4dc3,01Z,DX1,TCGA-CN-5361-01Z-00-DX1.719cf77b-0dd4-4419-be8f-0d3dadedd7cb.svs,974089053
TCGA-CN-5363-01Z-00-DX1,TCGA-CN-5363,5bac31fd-f8f9-4975-8d5e-e9b882725b81,01Z,DX1,TCGA-CN-5363-01Z-00-DX1.bd9c87d4-de64-4932-a90f-95888150d780.svs,975449293
TCGA-CN-5364-01Z-00-DX1,TCGA-CN-5364,0515127a-6ce4-4880-a11f-133ca81cbbee,01Z,DX1,TCGA-CN-5364-01Z-00-DX1.caeed5d0-cd48-40f3-b81b-099637341563.svs,760020167
TCGA-CN-5365-01Z-00-DX1,TCGA-CN-5365,ecdbb01e-932a-43da-8afc-85fb7d33c8bc,01Z,DX1,TCGA-CN-5365-01Z-00-DX1.26a33bd0-1eb3-4774-8be6-bf8501f4a9f9.svs,1467791349
TCGA-CN-5366-01Z-00-DX1,TCGA-CN-5366,c867ee6a-eb33-43cf-a676-4de0e547b03b,01Z,DX1,TCGA-CN-5366-01Z-00-DX1.dcc14c44-6dd1-48a1-a21c-736c6b9551e1.svs,1019715655
TCGA-CN-5367-01Z-00-DX1,TCGA-CN-5367,eeff891f-97e4-4092-9af4-80229b943253,01Z,DX1,TCGA-CN-5367-01Z-00-DX1.5b09e54e-4140-4709-bc60-e201f9a72b24.svs,1253363555
TCGA-CN-5369-01Z-00-DX1,TCGA-CN-5369,bcb6c066-d598-4fb0-82ee-95d448deb224,01Z,DX1,TCGA-CN-5369-01Z-00-DX1.be289b39-c6c2-43a6-8feb-75ad5829ec81.svs,335988799
TCGA-CN-5373-01Z-00-DX1,TCGA-CN-5373,4e0bdc9e-aa46-48bd-8f35-3b12cc3a5d72,01Z,DX1,TCGA-CN-5373-01Z-00-DX1.c423a74f-cdb6-41b1-9483-be854827434e.svs,336984119
TCGA-CN-5374-01Z-00-DX1,TCGA-CN-5374,9e65629c-d2a2-486b-9404-f51c33511d6e,01Z,DX1,TCGA-CN-5374-01Z-00-DX1.027c681b-d8d8-47fd-b0f8-917d6ddb3b83.svs,1157792807
TCGA-CN-6010-01Z-00-DX1,TCGA-CN-6010,aefd8fd8-2d4c-455d-b5c0-1c6bac6c0870,01Z,DX1,TCGA-CN-6010-01Z-00-DX1.8a82a2d0-c687-4b75-922f-b5b64b5a99df.svs,163183063
TCGA-CN-6011-01Z-00-DX1,TCGA-CN-6011,99cc4545-301a-4d2b-ad36-793a84ab10f2,01Z,DX1,TCGA-CN-6011-01Z-00-DX1.a3a73ffe-06b8-42ea-820b-9c2824d96585.svs,580405075
TCGA-CN-6012-01Z-00-DX1,TCGA-CN-6012,838c8105-a728-4a48-8296-b8f42c14762c,01Z,DX1,TCGA-CN-6012-01Z-00-DX1.bd9283bb-47c7-41ab-996a-f3f5070cfc73.svs,123628399
TCGA-CN-6013-01Z-00-DX1,TCGA-CN-6013,9f205a3d-6997-49a8-9f88-2d4c4ef1fa37,01Z,DX1,TCGA-CN-6013-01Z-00-DX1.a6f4b6de-f4b4-47e7-a2da-259b3e5e147f.svs,146808699
TCGA-CN-6016-01Z-00-DX1,TCGA-CN-6016,29a3c818-1336-4c3f-a0b5-be6ba62bf26f,01Z,DX1,TCGA-CN-6016-01Z-00-DX1.737054ae-50f4-42c4-b79c-c462220b12f3.svs,309474817
TCGA-CN-6017-01Z-00-DX1,TCGA-CN-6017,aec73031-dfbf-45e3-b148-877909b0b356,01Z,DX1,TCGA-CN-6017-01Z-00-DX1.690fa1af-4b51-41c8-a52d-bd1341f990e9.svs,459334437
TCGA-CN-6018-01Z-00-DX1,TCGA-CN-6018,0fb798df-02e1-4973-9161-f773d4028b17,01Z,DX1,TCGA-CN-6018-01Z-00-DX1.77855643-92a9-40a7-b4a8-0e32b89fc597.svs,295978459
TCGA-CN-6019-01Z-00-DX1,TCGA-CN-6019,9ef0e8b2-7a4a-4af9-87d2-0115a2cfab2d,01Z,DX1,TCGA-CN-6019-01Z-00-DX1.0a01c44a-b7f4-427e-9854-fe2f0db631ab.svs,279929677
TCGA-CN-6020-01Z-00-DX1,TCGA-CN-6020,210516e1-deb4-41c2-9dfb-221ffa736ea0,01Z,DX1,TCGA-CN-6020-01Z-00-DX1.910f4ce3-873f-4712-b896-789d764513a7.svs,127159523
TCGA-CN-6021-01Z-00-DX1,TCGA-CN-6021,f1a65e9e-7bc8-43a5-8e6e-475e6b430ce2,01Z,DX1,TCGA-CN-6021-01Z-00-DX1.613eb0f9-f1ca-49a9-9bb8-7fdbb29d7665.svs,75174235
TCGA-CN-6022-01Z-00-DX1,TCGA-CN-6022,e5a74e54-5eee-4dd3-badc-68a5a0f8216c,01Z,DX1,TCGA-CN-6022-01Z-00-DX1.46951ba2-f656-41b9-95c7-a3026ddbd562.svs,123233791
